name,type,variable_description,variable,value,annotation,year,date,geography_id,change_rate
"Ehrenberg CDP, Arizona",place,Median Household Income,B19013_001E,28819.0,,2011,2011-12-31,1600000US0421800,
"El Capitan CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0421900,
"Elephant Head CDP, Arizona",place,Median Household Income,B19013_001E,73667.0,,2011,2011-12-31,1600000US0421980,
"Elfrida CDP, Arizona",place,Median Household Income,B19013_001E,34375.0,,2011,2011-12-31,1600000US0422080,
"Elgin CDP, Arizona",place,Median Household Income,B19013_001E,108333.0,,2011,2011-12-31,1600000US0422150,
"El Mirage city, Arizona",place,Median Household Income,B19013_001E,48084.0,,2011,2011-12-31,1600000US0422220,
"Eloy city, Arizona",place,Median Household Income,B19013_001E,32154.0,,2011,2011-12-31,1600000US0422360,
"El Prado Estates CDP, Arizona",place,Median Household Income,B19013_001E,25542.0,,2011,2011-12-31,1600000US0422400,
"First Mesa CDP, Arizona",place,Median Household Income,B19013_001E,43777.0,,2011,2011-12-31,1600000US0423512,
"Flagstaff city, Arizona",place,Median Household Income,B19013_001E,48758.0,,2011,2011-12-31,1600000US0423620,
"Florence town, Arizona",place,Median Household Income,B19013_001E,42561.0,,2011,2011-12-31,1600000US0423760,
"Flowing Springs CDP, Arizona",place,Median Household Income,B19013_001E,66047.0,,2011,2011-12-31,1600000US0423955,
"Flowing Wells CDP, Arizona",place,Median Household Income,B19013_001E,33832.0,,2011,2011-12-31,1600000US0423960,
"Fort Apache CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0424250,
"Fort Defiance CDP, Arizona",place,Median Household Income,B19013_001E,44423.0,,2011,2011-12-31,1600000US0424460,
"Fort Mohave CDP, Arizona",place,Median Household Income,B19013_001E,44431.0,,2011,2011-12-31,1600000US0424895,
"Fort Thomas CDP, Arizona",place,Median Household Income,B19013_001E,28348.0,,2011,2011-12-31,1600000US0424950,
"Fortuna Foothills CDP, Arizona",place,Median Household Income,B19013_001E,50021.0,,2011,2011-12-31,1600000US0425030,
"Fort Valley CDP, Arizona",place,Median Household Income,B19013_001E,75606.0,,2011,2011-12-31,1600000US0425045,
"Fountain Hills town, Arizona",place,Median Household Income,B19013_001E,74551.0,,2011,2011-12-31,1600000US0425300,
"Franklin CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0425650,
"Fredonia town, Arizona",place,Median Household Income,B19013_001E,46705.0,,2011,2011-12-31,1600000US0425720,
"Freedom Acres CDP, Arizona",place,Median Household Income,B19013_001E,35469.0,,2011,2011-12-31,1600000US0425735,
"Gadsden CDP, Arizona",place,Median Household Income,B19013_001E,28586.0,,2011,2011-12-31,1600000US0426070,
"Ganado CDP, Arizona",place,Median Household Income,B19013_001E,29306.0,,2011,2011-12-31,1600000US0426210,
